# router section defines topology nodes and their relative positions (e.g., to use in visualizer)
router

# node    comment     ypos    xpos
Node129      NA        44.119      15.242
Node130      NA        44.106      15.38
Node131      NA        44.043      16.2
Node132      NA        43.172      16.442
Node133      NA        42.648      18.092
Node134      NA        43.347      16.733
Node135      NA        43.512      16.251
Node136      NA        43.727      15.905
Node137      NA        43.55      16.5
Node138      NA        50.079      12.373
Node139      NA        49.747      13.377
Node140      NA        50.782      14.214
Node141      NA        50.66      14.032
Node142      NA        50.088      14.42
Node143      NA        50.767      15.056
Node144      NA        50.142      15.118
Node145      NA        48.974      14.474
Node146      NA        49.144      15.003
Node147      NA        50.04      15.776
Node148      NA        50.209      15.832
Node149      NA        49.904      16.444
Node150      NA        49.595      17.251
Node151      NA        49.195      16.607
Node152      NA        49.277      16.998
Node153      NA        49.216      17.666

# link section defines point-to-point links between nodes and characteristics of these links
link

#srcNode   dstNode   bandwidth   metric  delay   queue 
Node0         Node1    10Gbps        1      30ms    250
Node0         Node2    10Gbps        1      30ms    250
Node0         Node3    10Gbps        1      30ms    250
Node0         Node4    10Gbps        1      30ms    250
Node0         Node5    10Gbps        1      30ms    250
Node0         Node6    10Gbps        1      30ms    250
Node0         Node7    10Gbps        1      30ms    250
Node0         Node8    10Gbps        1      30ms    250
Node0         Node9    10Gbps        1      30ms    250
Node0         Node10    10Gbps        1      30ms    250
Node0         Node11   10Gbps        1      30ms    250
Node0         Node12   10Gbps        1      30ms    250
Node0         Node13   10Gbps        1      30ms    250
Node2         Node14    10Gbps        1      30ms    250
Node2         Node15   10Gbps        1      30ms    250
Node2         Node16  10Gbps        1      30ms    250
Node2         Node13    10Gbps        1      30ms    250
Node2         Node40    10Gbps        1      30ms    250
Node3         Node17    10Gbps        1      30ms    250
Node3         Node18    10Gbps        1      30ms    250
Node3         Node19   10Gbps        1      30ms    250
Node3         Node20    10Gbps        1      30ms    250
Node3         Node4    10Gbps        1      30ms    250
Node3         Node21    10Gbps        1      30ms    250
Node3         Node22   10Gbps        1      30ms    250
Node3         Node23    10Gbps        1      30ms    250
Node3         Node13    10Gbps        1      30ms    250
Node3         Node24   10Gbps        1      30ms    250
Node3         Node39   10Gbps        1      30ms    250
Node4         Node14    10Gbps        1      30ms    250
Node4         Node26    10Gbps        1      30ms    250
Node4         Node27    10Gbps        1      30ms    250
Node4         Node28    10Gbps        1      30ms    250
Node4         Node29    10Gbps        1      30ms    250
Node4         Node30    10Gbps        1      30ms    250
Node4         Node5    10Gbps        1      30ms    250
Node4         Node31    10Gbps        1      30ms    250
Node4         Node21    10Gbps        1      30ms    250
Node4         Node32    10Gbps        1      30ms    250
Node4         Node33    10Gbps        1      30ms    250
Node5         Node6    10Gbps        1      30ms    250
Node10         Node34    10Gbps        1      30ms    250
Node10         Node13    10Gbps        1      30ms    250
Node10         Node35    10Gbps        1      30ms    250
Node10         Node36    10Gbps        1      30ms    250
Node10         Node37    10Gbps        1      30ms    250
Node10         Node38    10Gbps        1      30ms    250
Node11         Node12    10Gbps        1      30ms    250
Node12         Node16    10Gbps        1      30ms    250
Node13         Node41    10Gbps        1      30ms    250
Node13         Node42    10Gbps        1      30ms    250
Node13         Node43    10Gbps        1      30ms    250
Node13         Node44    10Gbps        1      30ms    250
Node13         Node21    10Gbps        1      30ms    250
Node13         Node45    10Gbps        1      30ms    250
Node13         Node46    10Gbps        1      30ms    250
Node13         Node47    10Gbps        1      30ms    250
Node13         Node48    10Gbps        1      30ms    250
Node13         Node49    10Gbps        1      30ms    250
Node13         Node50   10Gbps        1      30ms    250
Node13         Node51   10Gbps        1      30ms    250
Node13         Node52   10Gbps        1      30ms    250
Node13         Node53   10Gbps        1      30ms    250
Node13         Node54   10Gbps        1      30ms    250
Node13         Node55    10Gbps        1      30ms    250
Node13         Node56    10Gbps        1      30ms    250
Node13         Node57    10Gbps        1      30ms    250
Node14         Node58    10Gbps        1      30ms    250
Node14         Node59   10Gbps        1      30ms    250
Node14         Node60    10Gbps        1      30ms    250
Node14         Node61    10Gbps        1      30ms    250
Node14         Node62    10Gbps        1      30ms    250
Node14         Node63    10Gbps        1      30ms    250
Node14         Node64    10Gbps        1      30ms    250
Node14         Node65    10Gbps        1      30ms    250
Node14         Node21    10Gbps        1      30ms    250
Node14         Node66    10Gbps        1      30ms    250
Node21         Node22    10Gbps        1      30ms    250
Node21         Node67    10Gbps        1      30ms    250
Node22         Node46    10Gbps        1      30ms    250
Node22         Node68    10Gbps        1      30ms    250
Node24         Node69    10Gbps        1      30ms    250
Node24         Node70    10Gbps        1      30ms    250
Node24         Node71    10Gbps        1      30ms    250
Node24         Node72    10Gbps        1      30ms    250
Node24         Node81    10Gbps        1      30ms    250
Node24         Node73    10Gbps        1      30ms    250
Node24         Node74    10Gbps        1      30ms    250
Node24         Node75    10Gbps        1      30ms    250
Node24         Node76    10Gbps        1      30ms    250
Node24         Node77   10Gbps        1      30ms    250
Node24         Node78   10Gbps        1      30ms    250
Node24         Node79    10Gbps        1      30ms    250
Node24         Node54   10Gbps        1      30ms    250
Node24         Node80    10Gbps        1      30ms    250
Node25         Node27    10Gbps        1      30ms    250
Node27         Node63    10Gbps        1      30ms    250
Node46         Node47    10Gbps        1      30ms    250
Node52         Node82    10Gbps        1      30ms    250
Node52         Node83    10Gbps        1      30ms    250
Node52         Node54    10Gbps        1      30ms    250
Node52         Node84    10Gbps        1      30ms    250
Node52         Node85    10Gbps        1      30ms    250
Node52         Node86    10Gbps        1      30ms    250
Node52         Node87    10Gbps        1      30ms    250
Node52         Node88    10Gbps        1      30ms    250
Node52         Node89    10Gbps        1      30ms    250
Node52         Node90    10Gbps        1      30ms    250
Node52         Node91    10Gbps        1      30ms    250
Node52         Node92    10Gbps        1      30ms    250
Node54         Node93    10Gbps        1      30ms    250
Node54         Node94    10Gbps        1      30ms    250
Node54         Node95    10Gbps        1      30ms    250
Node54         Node96    10Gbps        1      30ms    250
Node54         Node97    10Gbps        1      30ms    250
Node54         Node98    10Gbps        1      30ms    250
Node54         Node99    10Gbps        1      30ms    250
Node54         Node100    10Gbps        1      30ms    250
Node54         Node101   10Gbps        1      30ms    250
Node54         Node102   10Gbps        1      30ms    250
Node54         Node103    10Gbps        1      30ms    250
Node54         Node104    10Gbps        1      30ms    250
Node54         Node105    10Gbps        1      30ms    250
Node54         Node106    10Gbps        1      30ms    250
Node54         Node80    10Gbps        1      30ms    250
Node54         Node107    10Gbps        1      30ms    250
Node54         Node108    10Gbps        1      30ms    250
Node54         Node109    10Gbps        1      30ms    250
Node54         Node110    10Gbps        1      30ms    250
Node54         Node111    10Gbps        1      30ms    250
Node54         Node112    10Gbps        1      30ms    250
Node54         Node113    10Gbps        1      30ms    250
Node54         Node114    10Gbps        1      30ms    250
Node54         Node115    10Gbps        1      30ms    250
Node54         Node116    10Gbps        1      30ms    250
Node54         Node117    10Gbps        1      30ms    250
Node56         Node118    10Gbps        1      30ms    250
Node56         Node119    10Gbps        1      30ms    250
Node56         Node120    10Gbps        1      30ms    250
Node56         Node121   10Gbps        1      30ms    250
Node56         Node122    10Gbps        1      30ms    250
Node56         Node80    10Gbps        1      30ms    250
Node56         Node123    10Gbps        1      30ms    250
Node58         Node59    10Gbps        1      30ms    250
Node58         Node124   10Gbps        1      30ms    250
Node58         Node125    10Gbps        1      30ms    250
Node58         Node126    10Gbps        1      30ms    250
Node58         Node75    10Gbps        1      30ms    250
Node58         Node127    10Gbps        1      30ms    250
Node58         Node128    10Gbps        1      30ms    250
Node58         Node129    10Gbps        1      30ms    250
Node58         Node72    10Gbps        1      30ms    250
Node58         Node130    10Gbps        1      30ms    250
Node58         Node131    10Gbps        1      30ms    250
Node59         Node132    10Gbps        1      30ms    250
Node59         Node133    10Gbps        1      30ms    250
Node59         Node134    10Gbps        1      30ms    250
Node59         Node135    10Gbps        1      30ms    250
Node59         Node136    10Gbps        1      30ms    250
Node59         Node137   10Gbps        1      30ms    250
Node59         Node60    10Gbps        1      30ms    250
Node59         Node138    10Gbps        1      30ms    250
Node59         Node139    10Gbps        1      30ms    250
Node59         Node140   10Gbps        1      30ms    250
Node60         Node141   10Gbps        1      30ms    250
Node60         Node61    10Gbps        1      30ms    250
Node60         Node142    10Gbps        1      30ms    250
Node61         Node143   10Gbps        1      30ms    250
Node61         Node144    10Gbps        1      30ms    250
Node63         Node145   10Gbps        1      30ms    250
Node63         Node146   10Gbps        1      30ms    250
Node72         Node81    10Gbps        1      30ms    250
Node79         Node104    10Gbps        1      30ms    250
Node79         Node147    10Gbps        1      30ms    250
Node79         Node148    10Gbps        1      30ms    250
Node79         Node149    10Gbps        1      30ms    250
Node79         Node150    10Gbps        1      30ms    250
Node79         Node151    10Gbps        1      30ms    250
Node79         Node152    10Gbps        1      30ms    250
Node79         Node153    10Gbps        1      30ms    250
Node104         Node153    10Gbps        1      30ms    250
Node134         Node137    10Gbps        1      30ms    250
Node134         Node140    10Gbps        1      30ms    250
Node136         Node137    10Gbps        1      30ms    250
